incident_id,visibility,method,root_cause_idx,root_cause_node,rank,PR@1,PR@3,PR@5,Precision@1,Precision@3,Precision@5,Recall@1,Recall@3,Recall@5,AP
4,0.0,eIRWR,7554,MS_38769,16457,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,6.0764416357780884e-05
5,0.0,MicroRCA,14934,MS_66977,13023,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,7.678722260615834e-05
5,0.0,CloudRanger,14934,MS_66977,3129,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00031959092361776926
5,0.0,In-Degree,14934,MS_66977,7082,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001412030499858797
5,0.0,MicroHECL,14934,MS_66977,14960,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,6.684491978609626e-05
5,0.0,TraceDiag,14934,MS_66977,14954,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,6.687174000267486e-05
5,0.0,Neighbor Corr.,14934,MS_66977,10436,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,9.582215408202377e-05
5,0.0,MonitorRank,14934,MS_66977,13277,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,7.531821947729155e-05
5,0.0,MicroRank,14934,MS_66977,2,0,1,1,0.0,0.3333333333333333,0.2,0.0,1.0,1.0,0.5
5,0.0,CORAL,14934,MS_66977,13030,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,7.674597083653108e-05
5,0.0,TraceRank,14934,MS_66977,2,0,1,1,0.0,0.3333333333333333,0.2,0.0,1.0,1.0,0.5
5,0.0,IRWR,14934,MS_66977,12865,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,7.773027594247959e-05
5,0.0,eIRWR,14934,MS_66977,8550,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00011695906432748539
6,0.0,MicroRCA,1518,MS_15734,1,1,1,1,1.0,0.3333333333333333,0.2,1.0,1.0,1.0,1.0
6,0.0,CloudRanger,1518,MS_15734,30,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.03333333333333333
6,0.0,In-Degree,1518,MS_15734,743,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013458950201884253
6,0.0,MicroHECL,1518,MS_15734,2,0,1,1,0.0,0.3333333333333333,0.2,0.0,1.0,1.0,0.5
6,0.0,TraceDiag,1518,MS_15734,1,1,1,1,1.0,0.3333333333333333,0.2,1.0,1.0,1.0,1.0
6,0.0,Neighbor Corr.,1518,MS_15734,40,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.025
6,0.0,MonitorRank,1518,MS_15734,1,1,1,1,1.0,0.3333333333333333,0.2,1.0,1.0,1.0,1.0
6,0.0,MicroRank,1518,MS_15734,1,1,1,1,1.0,0.3333333333333333,0.2,1.0,1.0,1.0,1.0
6,0.0,CORAL,1518,MS_15734,1,1,1,1,1.0,0.3333333333333333,0.2,1.0,1.0,1.0,1.0
6,0.0,TraceRank,1518,MS_15734,2,0,1,1,0.0,0.3333333333333333,0.2,0.0,1.0,1.0,0.5
6,0.0,IRWR,1518,MS_15734,1,1,1,1,1.0,0.3333333333333333,0.2,1.0,1.0,1.0,1.0
6,0.0,eIRWR,1518,MS_15734,1,1,1,1,1.0,0.3333333333333333,0.2,1.0,1.0,1.0,1.0
7,0.0,MicroRCA,12128,MS_56123,16,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0625
7,0.0,CloudRanger,12128,MS_56123,170,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0058823529411764705
7,0.0,In-Degree,12128,MS_56123,4816,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00020764119601328904
7,0.0,MicroHECL,12128,MS_56123,17,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.058823529411764705
7,0.0,TraceDiag,12128,MS_56123,16,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0625
7,0.0,Neighbor Corr.,12128,MS_56123,75,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.013333333333333334
