visibility,method,n_incidents,PR@1,PR@3,PR@5,Precision@1,Precision@3,Precision@5,Recall@1,Recall@3,Recall@5,MRR,MAP,avg_rank,median_rank,dataset_index,n_rows,n_nodes,n_edges
0.2,TraceDiag,200,0.1,0.175,0.205,0.1,0.05833333333333333,0.04100000000000001,0.1,0.175,0.205,0.15872849730035818,0.15872849730035818,154.39,68.5,84,8468727,11966,30727
0.2,Neighbor Corr.,200,0.0,0.0,0.01,0.0,0.0,0.002,0.0,0.0,0.01,0.01703808935719304,0.01703808935719304,102.68,83.0,84,8468727,11966,30727
0.2,MonitorRank,200,0.145,0.245,0.29,0.145,0.08166666666666667,0.05800000000000001,0.145,0.245,0.29,0.2179398348439138,0.2179398348439138,89.21,32.0,84,8468727,11966,30727
0.2,MicroRank,200,0.77,1.0,1.0,0.77,0.33333333333333326,0.2,0.77,1.0,1.0,0.885,0.885,1.23,1.0,84,8468727,11966,30727
0.2,CORAL,200,0.145,0.24,0.29,0.145,0.08,0.05800000000000001,0.145,0.24,0.29,0.21714485342782125,0.21714485342782125,70.72,28.0,84,8468727,11966,30727
0.2,TraceRank,200,0.51,1.0,1.0,0.51,0.33333333333333326,0.2,0.51,1.0,1.0,0.7441666666666668,0.7441666666666668,1.555,1.0,84,8468727,11966,30727
0.2,IRWR,200,0.3,0.43,0.47,0.3,0.1433333333333333,0.094,0.3,0.43,0.47,0.3901187397589733,0.3901187397589733,30.795,7.5,84,8468727,11966,30727
0.2,eIRWR,200,0.205,0.67,0.735,0.205,0.22333333333333333,0.147,0.205,0.67,0.735,0.44857809655688663,0.44857809655688663,10.885,2.0,84,8468727,11966,30727
0.3,MicroRCA,200,0.19,0.305,0.37,0.19,0.10166666666666666,0.07400000000000001,0.19,0.305,0.37,0.27959133509859474,0.27959133509859474,28.155,16.0,84,8468727,11966,30727
0.3,CloudRanger,200,0.01,0.01,0.02,0.01,0.003333333333333333,0.004,0.01,0.01,0.02,0.01806481303790697,0.01806481303790697,230.805,227.5,84,8468727,11966,30727
0.3,In-Degree,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008399356511277906,0.0008399356511277906,5313.405,5557.5,84,8468727,11966,30727
0.3,MicroHECL,200,0.105,0.175,0.195,0.105,0.05833333333333333,0.03900000000000001,0.105,0.175,0.195,0.15208709726195385,0.15208709726195385,4262.305,171.0,84,8468727,11966,30727
0.3,TraceDiag,200,0.125,0.25,0.29,0.125,0.08333333333333331,0.05800000000000001,0.125,0.25,0.29,0.2071033696557388,0.2071033696557388,65.76,33.0,84,8468727,11966,30727
0.3,Neighbor Corr.,200,0.0,0.0,0.01,0.0,0.0,0.002,0.0,0.0,0.01,0.02189976755926754,0.02189976755926754,63.82,63.0,84,8468727,11966,30727
0.3,MonitorRank,200,0.195,0.335,0.38,0.195,0.11166666666666666,0.07600000000000001,0.195,0.335,0.38,0.2879082371111405,0.2879082371111405,33.26,17.0,84,8468727,11966,30727
0.3,MicroRank,200,0.77,1.0,1.0,0.77,0.33333333333333326,0.2,0.77,1.0,1.0,0.885,0.885,1.23,1.0,84,8468727,11966,30727
0.3,CORAL,200,0.195,0.315,0.375,0.195,0.105,0.075,0.195,0.315,0.375,0.28567792260672703,0.28567792260672703,28.27,16.0,84,8468727,11966,30727
0.3,TraceRank,200,0.99,1.0,1.0,0.99,0.33333333333333326,0.2,0.99,1.0,1.0,0.995,0.995,1.01,1.0,84,8468727,11966,30727
0.3,IRWR,200,0.41,0.53,0.57,0.41,0.17666666666666664,0.11399999999999999,0.41,0.53,0.57,0.5055415801735395,0.5055415801735395,8.005,2.5,84,8468727,11966,30727
0.3,eIRWR,200,0.57,0.96,0.975,0.57,0.32,0.195,0.57,0.96,0.975,0.7625144479622091,0.7625144479622091,3.13,1.0,84,8468727,11966,30727
0.5,MicroRCA,200,0.37,0.495,0.55,0.37,0.165,0.11,0.37,0.495,0.55,0.4769036254524417,0.4769036254524417,7.4,4.0,84,8468727,11966,30727
0.5,CloudRanger,200,0.01,0.015,0.02,0.01,0.005,0.004,0.01,0.015,0.02,0.021886616753607674,0.021886616753607674,140.195,146.0,84,8468727,11966,30727
0.5,In-Degree,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008399356511277906,0.0008399356511277906,5313.405,5557.5,84,8468727,11966,30727
0.5,MicroHECL,200,0.1,0.175,0.2,0.1,0.05833333333333333,0.04000000000000001,0.1,0.175,0.2,0.14955297872427253,0.14955297872427253,4260.17,117.5,84,8468727,11966,30727
0.5,TraceDiag,200,0.28,0.38,0.445,0.28,0.12666666666666665,0.08899999999999998,0.28,0.38,0.445,0.36906666075952627,0.36906666075952627,16.855,7.0,84,8468727,11966,30727
