index,n_rows,n_nodes,n_edges,density,avg_degree,file_size_mb
73,9363666,13885,36325,0.00018842786784102486,2.6161325171047896,964.7561531066895
74,9636924,14089,37252,0.0001876809020807087,2.6440485485130245,993.9127035140991
75,10678119,14781,41122,0.00018823309264288837,2.78208510926189,1105.4081478118896
76,12015185,15815,45952,0.0001837356742891728,2.905595953208979,1250.5371046066284
77,12198066,16116,47603,0.00018329336942598983,2.953772648299826,1270.6139335632324
78,11030144,15919,46191,0.00018228590191102917,2.9016269866197626,1144.7068910598755
79,9040149,14160,38136,0.00019021260957575046,2.6932203389830507,931.6233358383179
80,8435213,13045,32195,0.00018920541249130667,2.467995400536604,864.8099269866943
81,8447335,12524,30830,0.00019657219409993692,2.46167358671351,866.1793489456177
82,8369374,12510,30708,0.0001962328130939968,2.454676258992806,858.668683052063
83,8396975,12851,31535,0.0001909645633112474,2.4538946385495293,861.606448173523
84,8469061,12453,30742,0.00019825265774770897,2.4686420942744722,870.7291917800903
85,8527185,12607,31035,0.00019528221574205336,2.4617276116443247,877.6565275192261
86,8657742,12568,31161,0.0001972938733936704,2.479392106938256,892.0637540817261
87,8298422,12593,31396,0.00019799325798776292,2.4931311045819107,851.2714433670044
88,8513358,12690,31589,0.00019617644415802647,2.489282899921198,873.3113985061646
89,8570133,12731,31478,0.00019422995486458172,2.472547325426125,879.5213470458984
90,8874987,13243,33512,0.0001910998669816735,2.5305444385713205,911.5212574005127
91,9094425,13251,33847,0.0001927771916110283,2.554297788846125,934.7807359695435
92,9472848,13401,34778,0.0001936701092700812,2.595179464219088,975.2522649765015
93,9725939,13853,36267,0.000188997176095465,2.617988883274381,1002.5999917984009
94,10231486,14136,37677,0.00018856190878282003,2.6653225806451615,1056.4840755462646
95,11297163,14863,41218,0.000186596365406296,2.773195182668371,1171.0215787887573
96,12363850,16137,46598,0.00017895695966450381,2.887649501146434,1285.5281066894531
97,12382995,16062,47429,0.00018385344176906915,2.9528701282530196,1288.9920043945312
98,11554261,15876,46377,0.00018401271269662722,2.921201814058957,1199.4783840179443
99,9565198,14440,39800,0.00019088805921328413,2.7562326869806095,985.4265174865723
100,9742291,13132,32669,0.00018945547727273096,2.4877398720682304,1003.4675903320312
101,9577531,12671,31560,0.0001965845979953977,2.4907268566016887,985.1738176345825
102,9253778,12573,31092,0.0001967004579985307,2.472918157957528,950.6997327804565
103,9490645,12752,31749,0.00019525739954757404,2.4897271016311167,976.2989292144775
104,9678763,12604,31571,0.00019874948293406035,2.5048397334179624,996.4197816848755
105,9786044,12739,32166,0.00019822593519213625,2.5250019624774316,1007.3489217758179
106,9878097,12879,32399,0.000195344434280191,2.5156456246602996,1017.0249891281128
107,9711991,12721,32129,0.00019855866518938872,2.5256662212090246,1007.7590494155884
108,10051355,12796,32201,0.0001966775715496282,2.516489527977493,1034.5966787338257
109,10020610,12827,32698,0.00019874895743109515,2.549154128011226,1030.5600500106812
110,10844609,13725,35320,0.00018751138101707405,2.5734061930783243,1117.679063796997
111,10930748,13371,34800,0.00019466324014613838,2.6026475207538704,1128.0722360610962
112,10955812,13684,35987,0.00019219905650435425,2.6298596901490794,1131.1803827285767
113,11218459,14311,38213,0.000186595651622554,2.670183774718748,1158.343147277832
114,11481158,14581,39814,0.00018727981779847856,2.7305397435018173,1187.1883401870728
115,12496095,15237,42618,0.00018357884516268064,2.7970072848986023,1295.3481464385986
116,13809259,16499,48848,0.0001794559511870408,2.960664282683799,1437.4104585647583
117,14492431,16728,51479,0.0001839789031139127,3.077415112386418,1512.2735776901245
118,13957628,17088,52264,0.0001789969332972983,3.058520599250936,1462.1526193618774
119,11345365,15508,44296,0.00018419631235123764,2.8563322156306423,1172.4786968231201
120,11454031,14172,36951,0.00018399014194054464,2.607324301439458,1181.2846879959106
121,11215381,13867,36346,0.00018902659479266628,2.6210427633951108,1155.9064712524414
122,11081725,13657,35752,0.0001916997401265304,2.617851651167899,1141.571641921997
123,11168670,14018,37066,0.00018864034951424015,2.644171779141104,1150.8878192901611
124,10923667,13877,37055,0.0001924362734466111,2.6702457303451754,1125.190523147583
125,11500255,14146,37683,0.0001883253853653739,2.6638625759932135,1194.281940460205
126,11655318,14326,38385,0.00018704321875139332,2.6793941086137094,1206.9110841751099
127,11345854,14274,38425,0.00018860487669530997,2.6919574050721593,1169.987639427185
128,11586810,14379,38999,0.00018863675118709492,2.7122192085680505,1194.502914428711
129,11470093,14301,38894,0.00019018671001049857,2.719669953150129,1182.6243877410889
130,11789553,14977,41059,0.00018305757574719984,2.7414702543900646,1215.6628828048706
131,11728885,14704,40333,0.00018656023283501543,2.742995103373232,1209.490629196167
132,11878898,14836,41253,0.00018743520325085783,2.780601240226476,1225.137209892273
133,12129631,15302,42779,0.00018271012533566938,2.795647627761077,1251.6468715667725
134,12584299,15859,45740,0.0001818745566410055,2.884166719213065,1300.2178401947021
135,13788048,16563,49244,0.00017951532946228524,2.9731328865543682,1438.166485786438
136,15415374,17842,56185,0.00017650526191134694,3.1490303777603406,1611.449381828308
137,16572479,18747,60904,0.00017330273821797903,3.2487331306342346,1734.3088884353638
