visibility,method,n_incidents,PR@1,PR@3,PR@5,Precision@1,Precision@3,Precision@5,Recall@1,Recall@3,Recall@5,MRR,MAP,avg_rank,median_rank,dataset_index,n_rows,n_nodes,n_edges
0.2,Neighbor Corr.,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006644659416416596,0.006644659416416596,215.13,158.0,297,20592271,24368,87843
0.2,MonitorRank,200,0.075,0.185,0.24,0.075,0.06166666666666666,0.04800000000000001,0.075,0.185,0.24,0.16044511987072835,0.16044511987072835,142.64,35.0,297,20592271,24368,87843
0.2,MicroRank,200,0.865,1.0,1.0,0.865,0.33333333333333326,0.2,0.865,1.0,1.0,0.9258333333333334,0.9258333333333334,1.175,1.0,297,20592271,24368,87843
0.2,CORAL,200,0.075,0.18,0.25,0.075,0.06,0.05,0.075,0.18,0.25,0.1597648618877833,0.1597648618877833,103.255,32.5,297,20592271,24368,87843
0.2,TraceRank,200,0.075,0.33,0.575,0.075,0.11,0.115,0.075,0.33,0.575,0.2944583333333334,0.2944583333333334,4.995,5.0,297,20592271,24368,87843
0.2,IRWR,200,0.255,0.405,0.455,0.255,0.135,0.091,0.255,0.405,0.455,0.3622306498306404,0.3622306498306404,40.875,7.0,297,20592271,24368,87843
0.2,eIRWR,200,0.16,0.525,0.6,0.16,0.175,0.12,0.16,0.525,0.6,0.3690834551995624,0.3690834551995624,21.835,3.0,297,20592271,24368,87843
0.3,MicroRCA,200,0.155,0.275,0.35,0.155,0.09166666666666666,0.07,0.155,0.275,0.35,0.24917344215157866,0.24917344215157866,30.935,17.5,297,20592271,24368,87843
0.3,CloudRanger,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0025114766652503152,0.0025114766652503152,561.415,495.0,297,20592271,24368,87843
0.3,In-Degree,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000321358130141692,0.000321358130141692,11502.85,11765.5,297,20592271,24368,87843
0.3,MicroHECL,200,0.065,0.125,0.16,0.065,0.04166666666666666,0.032,0.065,0.125,0.16,0.11282409633958362,0.11282409633958362,7438.425,146.5,297,20592271,24368,87843
0.3,TraceDiag,200,0.08,0.175,0.21,0.08,0.05833333333333333,0.042,0.08,0.175,0.21,0.15714857520197853,0.15714857520197853,91.95,36.0,297,20592271,24368,87843
0.3,Neighbor Corr.,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009167186972006589,0.009167186972006589,126.575,112.5,297,20592271,24368,87843
0.3,MonitorRank,200,0.165,0.295,0.355,0.165,0.09833333333333333,0.071,0.165,0.295,0.355,0.26258611564776796,0.26258611564776796,39.485,19.0,297,20592271,24368,87843
0.3,MicroRank,200,0.865,1.0,1.0,0.865,0.33333333333333326,0.2,0.865,1.0,1.0,0.9258333333333334,0.9258333333333334,1.175,1.0,297,20592271,24368,87843
0.3,CORAL,200,0.165,0.3,0.37,0.165,0.1,0.07400000000000001,0.165,0.3,0.37,0.2610461622731255,0.2610461622731255,31.055,17.0,297,20592271,24368,87843
0.3,TraceRank,200,0.955,0.98,0.985,0.955,0.32666666666666666,0.19699999999999998,0.955,0.98,0.985,0.9688809523809523,0.9688809523809523,1.155,1.0,297,20592271,24368,87843
0.3,IRWR,200,0.43,0.545,0.595,0.43,0.18166666666666664,0.11899999999999998,0.43,0.545,0.595,0.5187674030035951,0.5187674030035951,8.275,3.0,297,20592271,24368,87843
0.3,eIRWR,200,0.55,0.895,0.925,0.55,0.29833333333333334,0.185,0.55,0.895,0.925,0.7268530319503427,0.7268530319503427,4.91,1.0,297,20592271,24368,87843
0.5,MicroRCA,200,0.335,0.495,0.56,0.335,0.165,0.11199999999999999,0.335,0.495,0.56,0.45785719988017115,0.45785719988017115,7.815,4.0,297,20592271,24368,87843
0.5,CloudRanger,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004265924019469989,0.004265924019469989,281.575,263.0,297,20592271,24368,87843
0.5,In-Degree,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000321358130141692,0.000321358130141692,11502.85,11765.5,297,20592271,24368,87843
0.5,MicroHECL,200,0.065,0.125,0.165,0.065,0.04166666666666666,0.033,0.065,0.125,0.165,0.11510993434727482,0.11510993434727482,7428.86,144.5,297,20592271,24368,87843
0.5,TraceDiag,200,0.225,0.37,0.44,0.225,0.12333333333333332,0.08800000000000001,0.225,0.37,0.44,0.32937954184225277,0.32937954184225277,20.035,7.0,297,20592271,24368,87843
0.5,Neighbor Corr.,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013686320095387592,0.013686320095387592,76.865,74.0,297,20592271,24368,87843
0.5,MonitorRank,200,0.345,0.49,0.55,0.345,0.16333333333333333,0.11,0.345,0.49,0.55,0.4568817298420605,0.4568817298420605,8.795,4.0,297,20592271,24368,87843
0.5,MicroRank,200,0.865,1.0,1.0,0.865,0.33333333333333326,0.2,0.865,1.0,1.0,0.9258333333333334,0.9258333333333334,1.175,1.0,297,20592271,24368,87843
0.5,CORAL,200,0.34,0.5,0.56,0.34,0.16666666666666663,0.11199999999999999,0.34,0.5,0.56,0.46297301626216397,0.46297301626216397,7.76,3.5,297,20592271,24368,87843
0.5,TraceRank,200,1.0,1.0,1.0,1.0,0.33333333333333326,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,297,20592271,24368,87843
0.5,IRWR,200,0.755,0.93,0.98,0.755,0.31,0.196,0.755,0.93,0.98,0.8440024509803922,0.8440024509803922,1.6,1.0,297,20592271,24368,87843
0.5,eIRWR,200,0.92,0.99,0.995,0.92,0.33,0.19899999999999998,0.92,0.99,0.995,0.9555277777777778,0.9555277777777778,1.31,1.0,297,20592271,24368,87843
